long_name,short_name,area,state,contact,email,url,phone,address
City of Arcadia Transit,Arcadia Transit,Arcadia,CA,Mr. Donald Penman (City Manager),dpenman@ci.arcadia.ca.us,http://www.ci.arcadia.ca.us/,(626)574-5401,"240 West Huntington Drive, Arcadia, CA 91066"
Placer County Department of Public Works,PCDPW,Auburn,CA,Mr. Ken Grehm (Director of Public Works),kgrehm@placer.ca.gov,http://www.placer.ca.gov/,(530)745-7591,"3091 County Center Dr Suite 220, Auburn, CA 95603"
Golden Empire Transit District,GET,Bakersfield,CA,Mrs. Karen King (Chief Executive Officer),kking@getbus.org,http://www.getbus.org/,(661)324-9874,"1830 Golden State Avenue, Bakersfield, CA 93301"
City of Benicia,Benicia Breeze,Benicia,CA,Ms. Melissa Bryan (Transit Services Manager),melissa.bryan@ci.benicia.ca.us,http://www.ci.benicia.ca.us/,(707)746-4300,"250 East L Street, Benicia, CA 94510"
Camarillo Area Transit,CAT,Camarillo,CA,Mr. Jerry Bankston (City Manager),citymanager@ci.camarillo.ca.us,http://www.ci.camarillo.ca.us/,(805)388-5307,"c/o: City of Camarillo, Camarillo, CA 93011"
Butte County Association of Governments,BCAG,Chico,CA,Mr. Jon Clark (Executive Director),jonclark@bcag.org,http://www.bcag.org/,(530)879-2468 Ext:205,"2580 Sierra Sunrise Terrace Suite 100, Chico, CA 95928"
Chula Vista Transit,CVT,Chula Vista,CA,Mr. Andres Trujillo (Transit Manager),atrujillo@ci.chula-vista.ca.us,http://www.sdmts.com/,(619)397-6061,"1800 Maxwell Road, Chula Vista, CA 91911"
City of Commerce Municipal Buslines,CBL,Commerce,CA,Mr. Jorge Rifa (City Administrator),jorger@ci.commerce.ca.us,http://ci.commerce.ca.us/,(323)722-4805 Ext:2215,"2535 Commerce Way, Commerce, CA 90040"
Central Contra Costa Transit Authority,County Connection,Concord,CA,Mr. Rick Ramacier (General Manager),ramacier@cccta.org,http://www.cccta.org/,(925)680-2050,"2477 Arnold Industrial Way, Concord, CA 94520"
City of Corona,CCTS,Corona,CA,Mr. Kip Field (Public Works Director),brianc@ci.corona.ca.us,http://www.coronatransit.com/,(951)736-2236,"400 South Vicentia Avenue, Corona, CA 92882"
Culver City Municipal Bus Lines,Culver CityBus,Culver City,CA,Mr. Art Ida (Transportation Director ),art.ida@culvercity.org,http://www.culvercity.org/,(310)253-6545,"4343 Duquesne Avenue, Culver City, CA 90232"
Unitrans - City of Davis/ASUCD,Unitrans,Davis,CA,Mr. Geoff Straw (General Manager),gdstraw@ucdavis.edu,http://www.unitrans.com/,(530)752-6525,"One Shields Avenue 5 South Hall, Davis, CA 95616"
Imperial Valley Transit,IVT,El Centro,CA,Mr. Ralph Cordova Jr. (County Executive Officer),ralphcordova@co.imperial.ca.us,http://www.ivtransit.com/,760-482-4290,"940 Main Street, Suite 208, El Centro, CA 92243"
City of Elk Grove,etran,Elk Grove,CA,Ms. Tiffani Fink (Transit System Manager),tfink@elkgrovecity.org,http://www.e-tran.org/,(916)687-3030,"10250 Iron Rock Way Suite 200, Elk Grove, CA 95624"
City of Fairfield - Fairfield and Suisun Transit,FAST,Fairfield,CA,Mr. Sean Quinn (City Manager),squinn@ci.fairfield.ca.us,http://www.ci.fairfield.ca.us/,(707)428-7768,"Fairfield Transportation Center 2000 Cadenasso Drive, Fairfield, CA 94533"
Fresno Area Express,FAX,Fresno,CA,Mr. Kenneth Hamm (Director of Transportation),Kenneth.Hamm@fresno.gov,http://www.fresno.gov/,(559)621-1440,"2223 G Street, Fresno, CA 93706"
City of Gardena Transportation Department,GMBL,Gardena,CA,Mr. Mitchell Lansdell (City Manager),mlansdell@ci.gardena.ca.us,http://www.ci.gardena.ca.us/,(310)217-9503,"13999 S. Western Ave., Gardena, CA 90247"
Kings County Area Public Transit Agency,KART,Hanford,CA,Mr. Ron Hughes (Executive Director),Ron.Hughes@co.kings.ca.us,http://www.kartaits.com/,(559)582-3211 Ext:2696,"1340 North Drive, Hanford, CA 93230"
Victor Valley Transit Authority,VVTA,Hesperia,CA,Mr. Kevin Kane (CEO),kkane@vvta.org,http://www.vvta.org/,(760)948-4330,"11741 East Santa Fe Avenue, Hesperia, CA 92345"
Laguna Beach Municipal Transit,CLB,Laguna Beach,CA,Mr. Steve May (Director of Public Works/City Engineer),smay@lagunabeachcity.net,http://www.lagunabeachcity.net/,(949)497-0351,"505 Forest Avenue, Laguna Beach, CA 92651"
Antelope Valley Transit Authority,AVTA,Lancaster,CA,Mr. Randy Floyd (Executive Director),rfloyd@avta.com,http://www.avta.com/,(661)729-2206,"42210 6th Street West, Lancaster, CA 93534"
Livermore / Amador Valley Transit Authority,LAVTA,Livermore,CA,Mr Paul Matsuoka (Executive Director),pmatsuoka@lavta.org,http://www.wheelsbus.com/,(925)455-7564,"1362 Rutan Court Suite 100, Livermore, CA 94551"
City of Lodi - Transit Division,Grapeline,Lodi,CA,Mr. Blair King (City Manager),bking@lodi.gov,http://www.lodi.gov/transit,(209)333-6700,"221 West Pine Street, Lodi, CA 95241"
City of Lompoc - Lompoc Transit,COLT,Lompoc,CA,Mr. Richard Fernbaugh (Aviation/Transportation Administrator),r_fernbaugh@ci.lompoc.ca.us,http://www.cityoflompoc.com/,(805)875-8268,"100 Civic Center Plaza, Lompoc, CA 93438"
Long Beach Transit,LBT,Long Beach,CA,Mr. Laurence Jackson (President and General Manager),ljackson@lbtransit.com,http://www.lbtransit.com/,(562)591-8753,"1963 East Anaheim Street, Long Beach, CA 90801"
Access Services Incorporated,ASI,Los Angeles,CA,Ms. Shelly Verrinder (Executive Director),verrinder@asila.org,http://www.asila.org/,(213)270-6000,"707 Wilshire Boulevard, 9th Floor, Los Angeles, CA 90017"
City of Los Angeles Department of Transportation,LADOT,Los Angeles,CA,Mr. James Lefton (Chief of Transit),james.lefton@lacity.org,http://www.ladottransit.com/,(213)972-8408,"100 S Main St 10th Floor, Los Angeles, CA 90012"
Los Angeles County Metropolitan Transportation Authority,LACMTA,Los Angeles,CA,Mr. Arthur Leahy (Chief Executive Officer),LeahyA@metro.net,http://www.metro.net/,(213)922-6888,"One Gateway Plaza, Los Angeles, CA 90012"
LACMTA - Small Operators,LACMTA,Los Angeles,CA,Mr. Arthur Leahy (Chief Executive Officer),leahya@metro.net,http://www.metro.net/,(213)922-6888,"One Gateway Plaza, Los Angeles, CA 90012"
Southern California Regional Rail Authority,Metrolink,Los Angeles,CA,Mr. David Solow (Chief Executive Officer),solowd@scrra.net,http://www.metrolinktrains.com/,(213)452-0273,"700 South Flower Street Suite 2600, Los Angeles, CA 90017"
Yuba-Sutter Transit Authority,YSTA,Marysville,CA,Mr. Keith Martin (Transit Manager),keith_martin@sbcglobal.net,http://www.yubasuttertransit.com/,(530)634-6880 Ext:102,"2100 B Street, Marysville, CA 95901"
Merced County Transit,The Bus,Merced,CA,Mr. Jesse Brown (Executive Director),Jbrown@mcag.cog.ca.us,http://www.mercedthebus.com/,(209)723-3153,"880 Thornton Road, Merced, CA 95340"
Modesto Area Express,MAX,Modesto,CA,Mr. Nicholas Pinhey (Director of Public Works),npinhey@modestogov.com,http://www.modestoareaexpress.com/,(209)577-5213,"1010 Tenth Street, Modesto, CA 95354"
Montebello Bus Lines,MBL,Montebello,CA,Ms. Aurora Jackson (Director of Transportation),ajackson@cityofmontebello.com,http://www.cityofmontebello.com/,(323)887-4606,"400 South Taylor Avenue, Montebello, CA 90640"
Monterey-Salinas Transit,MST,Monterey,CA,Mr. Carl Sedoryk (GM/ CEO),csedoryk@mst.org,http://www.mst.org/,(831)899-2558,"One Ryan Ranch Road, Monterey, CA 93940"
Napa County Transportation Planning Agency,NCTPA,Napa,CA,Mr Paul Price (Executive Director),pprice@nctpa.net,http://www.nctpa.net/,707-259-8634,"707 Randolph Street Suite 100, Napa, CA 94559"
Norwalk Transit System,NTS,Norwalk,CA,Mr. James Parker (Director of Transportation),jparker@ci.norwalk.ca.us,http://www.ci.norwalk.ca.us/,(562)929-5533,"12700 Norwalk Boulevard, Norwalk, CA 90650"
Alameda-Contra Costa Transit District,AC Transit,Oakland,CA,Mr. Richard Fernandez (General Manager),rfernandez@actransit.org,http://www.actransit.org/,(510)891-4753,"1600 Franklin Street, Oakland, CA 94612"
San Francisco Bay Area Rapid Transit District,BART,Oakland,CA,Ms. Dorothy Dugger (General Manager),Ddugger@bart.gov,http://www.bart.gov/,(510)464-6060,"300 Lakeside Drive, Oakland, CA 94604"
North County Transit District,NCTD,Oceanside,CA,Mr. Richard Hannasch (Director of Fiscal & Support Services),rhannasch@nctd.org,http://www.gonctd.com/,(760)967-2809,"810 Mission Avenue, Oceanside, CA 92054"
Orange County Transportation Authority,OCTA,Orange,CA,Mr. Will Kempton (Chief Executive Officer),wkempton@octa.net,http://www.octa.net/,(714)560-5584,"550 South Main Street, Orange, CA 92863"
Gold Coast Transit,GCT,Oxnard,CA,Ms. Deborah Linehan (General Manager),dlinehan@goldcoasttransit.org,http://www.goldcoasttransit.org/,(805)483-3959 Ext:118,"301 E. Third St., Oxnard, CA 93030"
City of Petaluma,Petaluma Transit,Petaluma,CA,Mr Joe Rye (Transit Manager),jrye@ci.petaluma.ca.us,http://transit.cityofpetaluma.net/,707-778-4421,"555 North McDowell Blvd., Petaluma, CA 94954"
Western Contra Costa Transit Authority,WestCAT,Pinole,CA,Mr. Charles Anderson (General Manager),charlie@westcat.org,http://www.westcat.org/,(510)724-3331,"601 Walter Avenue, Pinole, CA 94564"
City of Porterville,C.O.L.T.,Porterville,CA,Mr. John Lollis (City Manager),jlollis@ci.porterville.ca.us,http://www.portervilletransit.com/,(559)782-7466,"291 North Main Street, Porterville, CA 93257"
Redding Area Bus Authority,RABA,Redding,CA,Mr. Brian Crane (Director of Transportation & Engineering),bcrane@ci.redding.ca.us,http://www.rabaride.com/,(530)225-4170,"777 Cypress Avenue, Redding, CA 96001"
City of Riverside Special Transportation,City of Riverside,Riverside,CA,"Ms. Robin Metz (Parks, Recreation, and Community Services Superintendent)",rmetz@riversideca.gov,http://www.riversideca.gov/,(951)826-2000 Ext:2050,"3900 Main Street, Riverside, CA 92522"
Riverside Transit Agency,RTA,Riverside,CA,Mr. Larry Rubio (Chief Executive Officer),lrubio@riversidetransit.com,http://www.riversidetransit.com/,(951)565-5022,"1825 Third Street, Riverside, CA 92507"
Roseville Transit,,Roseville,CA,Mr. Michael Wixon (Alternative Transportation Manager),mwixon@roseville.ca.us,http://www.roseville.ca.us/transit,(916)774-5480,"401 Vernon Street, Roseville, CA 95678"
Sacramento Regional Transit District,Sacramento RT,Sacramento,CA,Mr. Michael Wiley (General Manager),mwiley@sacrt.com,http://www.sacrt.com/,(916)321-2811,"1400 29th Street, Sacramento, CA 95812"
Omnitrans,OMNI,San Bernardino,CA,Mr. Durand Rall (CEO/General Manager),Durand.Rall@omnitrans.org,http://www.omnitrans.org/,(909)379-7112,"1700 West Fifth Street, San Bernardino, CA 92411"
Peninsula Corridor Joint Powers Board,PCJPB,San Carlos,CA,Mr Michael Scanlon (Executive Director),scanlonm@samtrans.com,http://www.caltrain.com/,(650)508-6242,"1250 San Carlos Avenue, San Carlos, CA 94070"
San Mateo County Transit District,SamTrans,San Carlos,CA,Mr. Michael Scanlon (General Manager/CEO),scanlonm@samtrans.com,http://www.samtrans.com/,(650)508-6242,"1250 San Carlos Avenue, San Carlos, CA 94070"
San Diego Association of Governments,SANDAG,San Diego,CA,Mr. Gary Gallegos (Executive Director),gga@sandag.org,http://www.sandag.org/,(619)699-1900,"401 B Street Suite 800, San Diego, CA 92101"
San Diego Metropolitan Transit System,MTS,San Diego,CA,Mr. Paul Jablonski (Chief Executive Officer),paul.jablonski@sdmts.com,http://www.sdmts.com/,619-557-4515,"1255 Imperial Avenue Suite 1000, San Diego, CA 92101"
"Golden Gate Bridge, Highway and Transportation District",GGBHTD,San Francisco,CA,Ms. Celia Kupersmith (General Manager),ckupersmith@goldengate.org,http://www.goldengate.org/,(415)923-2203,"Presidio Station, San Francisco, CA 94129"
San Francisco Municipal Railway,MUNI,San Francisco,CA,"Mr. Nathaniel Ford, Sr. (Executive Director/CEO, MTA)",Nathaniel.Ford@sfmta.com,http://www.sfmta.com/,(415)701-4720,"1 South Van Ness Ave 8th Floor, San Francisco, CA 94103"
San Francisco Paratransit,ATC,San Francisco,CA,Mr. Mike Griffus (President & CEO),mike.griffus@veoliatransportation.com,http://www.sfparatransit.com/,630-382-1120,"68 12th Street, San Francisco, CA 94103"
Santa Clara Valley Transportation Authority,VTA,San Jose,CA,Mr. Michael Burns (General Manager),michael.burns@vta.org,http://www.vta.org/,(408)321-5559,"3331 North First Street, San Jose, CA 95134"
City of San Luis Obispo,SLO Transit,San Luis Obispo,CA,"Mr. John Webster, Sr. (Transit Manager)",jwebster@slocity.org,http://www.slocity.org/,(805)781-7121,"919 Palm Street, San Luis Obispo, CA 93401"
San Luis Obispo Regional Transit Authority,SLORTA,San Luis Obispo,CA,Mr. Edward King (Regional Transit Administrator),eking@slorta.org,http://www.slorta.org/,(805)781-4465,"179 Cross Street Suite A, San Luis Obispo, CA 93401"
Santa Barbara Metropolitan Transit District,SBMTD,Santa Barbara,CA,Mrs. Sherrie Fisher (General Manager),sfisher@sbmtd.gov,http://www.sbmtd.gov/,(805)963-3364,"550 Olive Street, Santa Barbara, CA 93101"
Santa Clarita Transit,SCT,Santa Clarita,CA,Mr. Darren Hernandez (Interim Transit Manager),dhernandez@santa-clarita.com,http://www.santa-clarita.com/,(661)295-6301,"28250 Constellation Road, Santa Clarita, CA 91355"
Santa Cruz Metropolitan Transit District,SCMTD,Santa Cruz,CA,Mr. Leslie White (General Manager),lwhite@scmtd.com,http://www.scmtd.com/,(831)426-6080,"370 Encinal Suite 100, Santa Cruz, CA 95060"
Santa Maria Area Transit,SMAT,Santa Maria,CA,Mr. Tim Ness (City Manager),tness@ci.santa-maria.ca.us,http://www.ci.santa-maria.ca.us/3075.html,(805)925-0951 Ext:200,"110 South Pine Street Suite 101, Santa Maria, CA 93458"
Santa Monica's Big Blue Bus,Big Blue Bus,Santa Monica,CA,Mr. P. Lamont Ewell (City Manager),lamont.ewell@smgov.net,http://www.bigbluebus.com/,(310)458-8411 Ext:8301,"1660 Seventh Street, Santa Monica, CA 90401"
City of Santa Rosa,Santa Rosa CityBus,Santa Rosa,CA,"Mr. Robert Dunlavey (Director, Transit and Parking)",rdunlavey@srcity.org,http://ci.santa-rosa.ca.us/,(707)543-3325,"100 Santa Rosa Ave Room 6, Santa Rosa, CA 95402"
Sonoma County Transit,,Santa Rosa,CA,Mr. Bryan Albee (Transit Systems Manager),bryan@sctransit.com,http://www.sctransit.com/,(707)585-7516 Ext:204,"355 West Robles Avenue, Santa Rosa, CA 95407"
Simi Valley Transit,SVT,Simi Valley,CA,Mr. Mike Sedell (City Manager),msedell@simivalley.org,http://www.simivalley.org/,(805)583-6701,"2929 Tapo Canyon Road, Simi Valley, CA 93063"
Altamont Commuter Express,ACE,Stockton,CA,Ms. Stacey Mortensen (Executive Director),stacey@acerail.com,http://www.acerail.com/,(209)944-6221,"949 East Channel Street, Stockton, CA 95202"
San Joaquin Regional Transit District,RTD,Stockton,CA,Ms. Donna DeMartino (General Manager),ddemartino@sanjoaquinrtd.com,http://www.sanjoaquinrtd.com/,(209)948-5566 Ext:613,"Stockton, CA 95201"
Thousand Oaks Transit,TOT,Thousand Oaks,CA,Mr. Scott Mitnick (City Manager),city@toaks.org,http://www.ci.thousand-oaks.ca.us/,(805)449-2100,"c/o: City of Thousand Oaks 2100 Thousand Oak Boulevard, Thousand Oaks, CA 91362"
SunLine Transit Agency,SunLine,Thousand Palms,CA,Mr. Charles Oglesby (General Manager),moglesby@sunline.org,http://www.sunline.org/,(760)343-3456 Ext:100,"32-505 Harry Oliver Trail, Thousand Palms, CA 92276"
Torrance Transit System,TTS,Torrance,CA,Ms. Kim Turner (Transit Director),kturner@torranceca.gov,http://www.torrnet.com/92.htm,(310)618-6245,"20500 Madrona Avenue, Torrance, CA 90503"
City of Turlock,BLAST and DART,Turlock,CA,Mr. Roy Wasden (City Manager),RWasden@turlock.ca.us,http://www.ci.turlock.ca.us/,(209)668-5540 Ext:1101,"156 South Broadway, Suite 150, Turlock, CA 95380"
City of Union City Transit Division,UCT,Union City,CA,Ms. Mintze Cheng (Director of Public Works),mintzec@ci.union-city.ca.us,http://www.uctransit.org/,(510)675-5308,"34009 Alvarado-Niles Road, Union City, CA 94587"
City of Vallejo Transportation Program,"Vallejo Transit, Baylink",Vallejo,CA,Ms. Crystal Odum Ford (Transportation Superintendent),codumford@ci.vallejo.ca.us,http://www.vallejotransit.com/,(707)648-5241,"555 Santa Clara Street, Vallejo, CA 94590"
Ventura Intercity Service Transit Authority,VISTA,Ventura,CA,Mr. Darren Kettle (Executive Director),dkettle@goventura.org,http://www.goventura.org/,(805)642-1591 Ext:123,"950 County Square Drive Suite 207, Ventura, CA 93003"
City of Visalia - Visalia City Coach,VCC,Visalia,CA,Mr. Monty Cox (Transit Manager),transit@ci.visalia.ca.us,http://www.ci.visalia.ca.us/,(559)713-4100,"425 East Oak Avenue, Suite 101, Visalia, CA 93291"
Foothill Transit,,West Covina,CA,Mr. Doran Barnes (Executive Director),dbarnes@foothilltransit.org,http://www.foothilltransit.org/,(626)931-7200,"100 South Vincent Avenue Suite 200, West Covina, CA 91790"
Yolo County Transportation District,YoloBus,Woodland,CA,Mr. Terry Bassett (Executive Director),tbassett@yctd.org,http://www.yolobus.com/,(530)661-0816,"350 Industrial Way, Woodland, CA 95776"
City and County of Honolulu Department of Transportation Services,DTS,Honolulu,HI,Mr. Wayne Yoshioka (Director-Department of Transportation Services),ksaiki@honolulu.gov,http://www.thebus.org/,(808)768-8301,"650 South King Street Third Floor, Honolulu, HI 96813"
"Honolulu - VPSI, Inc.",,Honolulu,HI,Mr. Jeffrey Henning (President and CEO),jeff.henning@vpsiinc.com,http://www.vpsiinc.com/,(248)597-3500,"711 Kapiolani Boulevard Suite 985, Honolulu, HI 96813"
Regional Transportation Commission of Southern Nevada,RTC,Las Vegas,NV,Mr. Jacob Snow (General Manager),snowj@rtcsnv.com,http://www.rtcsouthernnevada.com/,(702)676-1500,"600 South Grand Central Parkway Suite 350, Las Vegas, NV 89106"
Las Vegas Monorail Company,LVMC,Las Vegas,NV,Mr Curtis Myles III (President and CEO),curtis@lvmonorail.com,http://www.lvmonorail.com/,(702)699-8200,"3960 Howard Hughes Parkway Suite 750, Las Vegas, NV 89169"
Regional Transportation Commission of Washoe County,RTC,Reno,NV,Mr. Lee Gibson (Executive Director),lgibson@rtcwashoe.com,http://www.rtcwashoe.com/,(775)348-0400,"2050 Villanova Drive, Reno, NV 89520"
